Ссылка,Наименование,Цена,Рейтинг пользователей,Описание продукта,Инструкция по применению,Cтрана-производитель
https://goldapple.ru/19000166822-double-attack,Double Attack,16254,5,"Чемпионы создают судьбу сами и готовы рискнуть всем ради триумфа, когда шансы в их пользу. Аккорд шоколада создает смесь многогранных горьковато-сладких и древесных нот, которые определяют характер аромата. Специи и цветы разрушают преграды, а затем уступают место чарующим бурбону и ванили. Исследуйте разум, чувства, силу духа с MIND GAMES и погрузитесь в стратегически идеальные композиции.",Распылите на кожу с расстояния 20-30 см.,США
https://goldapple.ru/26830400003-dreaming-with-ghosts,Dreaming with Ghosts,8857,4.7,"Фантазия об особенной нежности. В поисках неожиданной красоты, потерянной в тёмном мире… Она ускользает, словно изменчивый, неуловимый фантом. Dreaming with Ghosts – это путешествие между сном и реальностью. Бодрящая айва сочетается со светлыми нотами ванили и ветивера, окутанными ароматом кожи. 
Основная идея – отражение нежности. Ваниль в сочетании с кожей и ветивером раскрывает мягкую чувственность, которую подчеркивают яркие цветочные ноты пиона и бархатцев. Из сна в реальность возвращает яркий фруктовый аккорд айвы, напоминающий сочетание груши и яблока. 

Верхние ноты: бархатцы, айва
Ноты сердца: пион, кожа
Базовые ноты: ветивер, ваниль",,Франция
https://goldapple.ru/19000249577-ange-des-vignes,Ange des Vignes,4890,,"Компания Caudalie представляет свою первую парфюмерную воду Ange des Vignes ― искрящуюся и соблазнительную. <br><br>Ее шипровый аромат раскрывается фруктовыми нотами малинового винограда, невесомого нероли и обволакивающего пачули. Неземной, завораживающий и чувственный полет между небом и виноградной лозой.",,Франция
https://goldapple.ru/19000186240-tobacco,TOBACCO,4080,,,,Франция
https://goldapple.ru/19000004549-perfume-vanilla-blend,Black vanilla,2200,4.8,"Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность.<br>
Эрез Розен <br><br>

Замысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов. <br><br>

Все ароматы Zielinski&Rozen категории унисекс.",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.,Россия
https://goldapple.ru/19000156228-homme-woody-musk,Homme Woody Musk,6246,4.9,"Чистая и чувственная парфюмерная композиция ARMAND BASI посвящена красоте мускуса – важнейшего для парфюмерии ингредиента, способного окутать чувством комфорта и усилить стойкость аромата. 
<br/>Раскрыть мускус с новой стороны позволяют пряные ноты кардамона, имбиря и перца, усиленные свежестью лимона и бергамота. 
<br/>В сердце аромата доминирует аккорд чистоты, объединивший альдегиды и цветок апельсина, шалфей и амброксан. 
<br/>Глубину и насыщенность ноты мускуса усиливают благородный кедр и чувственный кашмеран. 
<br/>Классификация аромата: древесный мускусный. Парфюмер – Aurélien Guichard.",Только для наружного применения.,Италия
https://goldapple.ru/19000041892-602-poivre-cedre-patchouli,"602 – poivre, cèdre, patchouli",2400,4.4,"Перец, кедр, пачули – 3 характерные ноты парфюмерной воды 402 от BON PARFUMEUR. Эта древесная композиция, украшенная острым аккордом южных пряностей, дарит приятное ощущение спокойствия и комфорта. Аромат приветствует солнечной нотой нероли, которая переплетается со свежестью цветочных нот и ярким аккордом специй. В сердце композиции раскрывается таинственное звучание мадагаскарского черного перца, кедра и сомалийского ладана. Гармонию холодных и пряных нот дополняют пачули, ветивер и бензоин, добавляющие дымчатую грань древесно-пряному аромату, который также имеет и черты фужерной композиции.
   
Верхние ноты: ладан, нероли 
Ноты сердца: перец чили, кедр 
Базовые ноты: ладан, пачули, ветивер, бензоин",только для наружного применения.,Франция
https://goldapple.ru/19000186241-cashmere,CASHMERE,4080,,,,Франция
https://goldapple.ru/19000039602-allegra-baciami,ALLEGRA Baciami,12861,5,"Цветочная амбровая композиция Baciami – словно пьянящее любовное зелье, способное вызвать зависимость. Притягательные ноты гардении и ванили настраивают на романтичный лад и напоминают о сладких поцелуях. Чарующая парфюмерная вода из коллекции Bvlgari Allegra воплощает один из секретов итальянского соблазнения – волнующий аромат. Усилить звучание композиции и создать индивидуальное сочетание под своё настроение можно с помощью одной из эссенций коллекции Bvlgari Allegra, идеально дополняющих гармонию нот. Ваш персонализированный аромат начинается здесь!

Ключевые ноты: гардения, ваниль",,Италия
https://goldapple.ru/19000004553-black-pepper-amber-neroli,"Black Pepper, Vetiver, Neroli, Amber",2200,4.8,"Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность.<br>
Эрез Розен <br><br>

Замысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов. <br><br>

Все ароматы Zielinski&Rozen категории унисекс.",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.,Россия
